# tracer: function_graph
#
# entries-in-buffer/entries-written: 15876/15876   #P:6
#
#                                      _-----=> irqs-off
#                                     / _----=> need-resched
#                                    | / _---=> hardirq/softirq
#                                    || / _--=> preempt-depth
#                                    ||| /     delay
#           TASK-PID    TGID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |        |      |   ||||       |         |
          <idle>-0     (-----) [001] d.h1   875.786435: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [003] d.h1   875.786440: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [001] d.h1   875.786440: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [002] d.h1   875.786443: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [001] d..1   875.786447: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [002] dN.1   875.786464: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [003] d.h1   875.786465: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [003] d..1   875.786473: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [000] d..1   875.794172: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [000] d.h1   875.794177: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [000] dNh1   875.794203: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [000] dN.1   875.794209: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [001] d..1   875.794254: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [001] dN.1   875.794264: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [002] dN.1   875.794317: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [002] dN.1   875.794321: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [003] dN.1   875.794381: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [003] dN.1   875.794384: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [001] d..1   875.794562: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [001] dN.1   875.794572: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [000] d..1   875.794589: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [000] dN.1   875.794599: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [002] d..1   875.796265: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [001] d..1   875.796265: graph_ent: func=gic_handle_irq
           <...>-22150 (-----) [003] d...   875.796267: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [002] d.h1   875.796271: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [001] d.h1   875.796274: graph_ent: func=generic_handle_irq
           <...>-22150 (-----) [003] d.h.   875.796275: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [001] d.h1   875.796279: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [002] d.h1   875.796282: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [001] d..1   875.796284: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [002] d..1   875.796302: graph_ret: func=gic_handle_irq
           <...>-22150 (-----) [003] d.h.   875.796306: graph_ret: func=generic_handle_irq
           <...>-22150 (-----) [003] d...   875.796369: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [002] d..1   875.806105: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [003] d..1   875.806107: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [002] d.h1   875.806110: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [003] d.h1   875.806116: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [002] d.h1   875.806126: graph_ret: func=generic_handle_irq
